what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1268030179617
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1268030179641
os,sysinfo,,,"linux",1268030179649
arch,sysinfo,,,"x86_64",1268030179649
ws,sysinfo,,,"gtk",1268030179649
locale,sysinfo,,,"en_US",1268030179649
processors,sysinfo,,,"2",1268030179650
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268030179650
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1268030179650
java.specification.name,sysinfo,,,"Java Platform API Specification",1268030179650
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268030179650
java.specification.version,sysinfo,,,"1.6",1268030179650
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268030179650
java.version,sysinfo,,,"1.6.0_15",1268030179650
java.vm.info,sysinfo,,,"mixed mode",1268030179650
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1268030179650
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268030179650
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268030179650
java.vm.specification.version,sysinfo,,,"1.0",1268030179650
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1268030179650
java.vm.version,sysinfo,,,"14.1-b02",1268030179650
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1268030179678
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1268030179718
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1268030179719
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1268030179726
