what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1267963724936
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1267963724936
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1267963724937
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1267963724937
os,sysinfo,,,"linux",1267963724940
arch,sysinfo,,,"x86_64",1267963724940
ws,sysinfo,,,"gtk",1267963724940
locale,sysinfo,,,"en_US",1267963724940
processors,sysinfo,,,"2",1267963724940
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267963724940
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1267963724940
java.specification.name,sysinfo,,,"Java Platform API Specification",1267963724940
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267963724940
java.specification.version,sysinfo,,,"1.6",1267963724940
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1267963724940
java.version,sysinfo,,,"1.6.0_15",1267963724940
java.vm.info,sysinfo,,,"mixed mode",1267963724940
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1267963724940
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267963724940
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267963724940
java.vm.specification.version,sysinfo,,,"1.0",1267963724940
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1267963724940
java.vm.version,sysinfo,,,"14.1-b02",1267963724940
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1267963725537
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1267963725549
