what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1267968405248
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1267968405271
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1267968405273
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1267968405275
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1267968405289
os,sysinfo,,,"linux",1267968405297
arch,sysinfo,,,"x86_64",1267968405297
ws,sysinfo,,,"gtk",1267968405297
locale,sysinfo,,,"en_US",1267968405297
processors,sysinfo,,,"2",1267968405298
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267968405298
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1267968405298
java.specification.name,sysinfo,,,"Java Platform API Specification",1267968405298
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267968405298
java.specification.version,sysinfo,,,"1.6",1267968405298
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1267968405298
java.version,sysinfo,,,"1.6.0_15",1267968405298
java.vm.info,sysinfo,,,"mixed mode",1267968405298
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1267968405298
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267968405298
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267968405298
java.vm.specification.version,sysinfo,,,"1.0",1267968405298
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1267968405298
java.vm.version,sysinfo,,,"14.1-b02",1267968405298
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1267968405511
